billing_date,cust_id,product_id,revenue,active_users,api_calls,storage_gb,support_hours,feature_count,data_processed_gb,integration_count,training_hours
2023-01-31,CUST_037,prod_04,12819.16,94,2773,270.8,10.7,7,1022.6,4,10.7
2023-01-31,CUST_078,prod_01,9364.32,36,1615,145.4,3.1,11,877.6,8,19.7
2023-01-31,CUST_189,prod_10,9005.01,40,7460,443.5,8.1,6,902.9,6,2.4
2023-01-31,CUST_186,prod_09,10160.45,100,3599,271.9,2.6,3,549.0,9,10.3
2023-01-31,CUST_018,prod_01,8715.46,62,6917,329.7,7.1,10,451.6,7,6.7
2023-01-31,CUST_090,prod_10,11044.04,106,9269,191.5,1.2,6,734.2,7,16.2
2023-01-31,CUST_140,prod_03,11523.2,84,10337,327.6,4.4,13,933.6,6,9.7
2023-01-31,CUST_137,prod_08,10707.35,81,3359,235.2,5.6,13,777.9,4,20.0
2023-01-31,CUST_013,prod_01,5784.64,51,2392,302.2,4.7,8,257.1,3,7.0
2023-01-31,CUST_096,prod_02,7410.76,61,3319,181.9,1.2,3,402.9,8,21.3
2023-01-31,CUST_185,prod_08,6106.08,18,9567,295.5,4.5,13,572.5,2,19.0
2023-01-31,CUST_053,prod_09,8419.48,36,9757,516.6,6.3,7,549.4,9,11.0
2023-01-31,CUST_064,prod_03,13219.75,101,6634,526.9,1.9,9,911.3,4,21.7
2023-01-31,CUST_048,prod_10,8473.79,100,5049,369.0,1.3,12,120.5,2,6.2
2023-01-31,CUST_058,prod_01,8522.63,25,10869,539.3,3.5,16,534.3,7,13.1
2023-01-31,CUST_150,prod_09,7706.08,31,3209,527.7,7.5,10,663.0,2,12.8
2023-01-31,CUST_024,prod_01,12591.29,95,1619,321.3,8.7,14,887.3,7,19.9
2023-01-31,CUST_190,prod_05,5468.16,42,7811,118.6,10.7,9,399.0,2,14.0
2023-01-31,CUST_122,prod_09,13091.15,100,1771,87.9,8.5,12,944.1,2,18.3
2023-01-31,CUST_035,prod_05,4597.04,20,3058,301.2,3.8,6,338.5,3,7.7
2023-01-31,CUST_080,prod_01,11957.77,98,2229,390.3,3.8,4,986.4,4,21.2
2023-01-31,CUST_143,prod_06,10694.55,64,1116,155.8,10.6,12,964.5,7,8.2
2023-01-31,CUST_004,prod_09,11779.99,99,7631,484.8,8.2,14,804.9,3,6.0
2023-01-31,CUST_123,prod_10,12186.79,97,7129,191.9,4.3,4,1009.3,4,20.0
2023-01-31,CUST_098,prod_05,8745.55,78,2888,165.1,2.2,13,148.1,7,14.7
2023-01-31,CUST_137,prod_10,7506.83,64,10890,319.4,8.3,14,260.2,7,12.7
2023-01-31,CUST_075,prod_02,6845.61,30,5748,477.3,9.4,14,223.9,9,20.7
2023-01-31,CUST_094,prod_10,10761.27,103,4880,235.3,9.8,15,310.0,7,21.2
2023-01-31,CUST_039,prod_01,7279.39,66,6217,465.5,8.6,16,273.2,3,3.8
2023-01-31,CUST_042,prod_07,5576.63,36,2052,545.6,1.2,11,225.8,2,5.7
2023-01-31,CUST_110,prod_07,8384.88,46,9774,466.8,3.5,14,376.5,8,4.4
2023-01-31,CUST_116,prod_10,9797.69,77,4538,130.9,6.1,16,569.8,3,16.9
2023-01-31,CUST_148,prod_04,8142.57,19,6068,488.4,4.6,3,826.3,6,2.4
2023-01-31,CUST_183,prod_04,8350.71,98,2943,77.2,8.8,16,274.6,3,13.6
2023-01-31,CUST_195,prod_01,8765.78,100,7621,358.2,5.9,10,229.3,4,7.7
2023-01-31,CUST_105,prod_09,11708.4,97,10837,547.3,6.7,8,683.5,2,15.4
2023-01-31,CUST_082,prod_03,9707.59,74,5484,227.7,1.9,14,678.3,3,19.2
2023-01-31,CUST_094,prod_05,9778.62,19,2199,125.9,6.4,11,1011.1,7,18.1
2023-01-31,CUST_101,prod_05,10710.97,55,3835,288.4,2.6,6,1083.2,2,12.2
2023-01-31,CUST_005,prod_08,9624.78,70,3738,365.6,6.7,3,692.3,9,10.4
2023-01-31,CUST_116,prod_05,6264.77,25,8732,326.7,5.6,9,270.2,8,2.9
2023-01-31,CUST_046,prod_01,8417.92,30,3697,350.7,9.7,4,1037.7,4,20.1
2023-01-31,CUST_197,prod_08,9141.73,63,10076,478.9,10.6,16,610.1,4,3.7
2023-01-31,CUST_070,prod_09,11804.07,65,6640,459.2,2.3,11,716.3,9,4.9
2023-01-31,CUST_037,prod_10,4356.58,16,5119,74.2,7.9,12,128.1,3,20.7
2023-01-31,CUST_147,prod_01,8297.02,22,5504,205.6,2.4,8,1039.7,4,4.9
2023-01-31,CUST_016,prod_05,7268.84,35,3727,545.5,3.9,3,320.2,9,9.6
2023-01-31,CUST_066,prod_10,10422.5,56,6288,243.8,5.2,15,1019.1,2,7.0
2023-01-31,CUST_188,prod_06,8949.0,74,9185,359.9,3.6,11,324.2,8,6.9
2023-01-31,CUST_155,prod_07,8860.06,57,1892,404.4,10.8,6,520.5,8,21.5
2023-01-31,CUST_143,prod_02,13067.13,110,2680,418.1,10.4,15,933.4,7,6.6
2023-01-31,CUST_105,prod_02,5871.86,22,7790,468.6,1.1,3,442.6,8,3.5
2023-01-31,CUST_191,prod_04,9152.87,90,9012,320.9,2.0,13,393.8,7,7.0
2023-01-31,CUST_149,prod_09,8541.79,33,8880,302.0,9.2,3,849.8,8,14.6
2023-01-31,CUST_141,prod_01,12866.21,95,6457,484.6,10.9,15,1051.2,7,19.7
2023-01-31,CUST_044,prod_01,10207.93,100,5676,333.0,9.4,15,364.9,2,16.7
2023-01-31,CUST_169,prod_03,6748.9,63,6457,147.9,3.8,11,291.2,2,2.7
2023-01-31,CUST_172,prod_09,9573.91,88,10091,396.9,10.2,7,484.6,2,13.1
2023-01-31,CUST_102,prod_06,6873.81,23,7203,64.0,6.4,14,467.0,7,14.4
2023-01-31,CUST_062,prod_08,13007.86,84,5462,419.2,5.7,16,909.7,9,6.0
2023-01-31,CUST_023,prod_06,10625.97,76,9181,345.8,1.8,15,529.6,6,8.4
2023-01-31,CUST_017,prod_01,7190.12,26,10435,308.2,7.9,13,279.8,9,17.6
2023-01-31,CUST_006,prod_04,9446.9,31,10727,201.3,4.8,10,1074.4,7,9.5
2023-01-31,CUST_181,prod_05,7816.39,66,6553,153.3,2.5,8,448.6,6,18.3
2023-01-31,CUST_082,prod_08,10870.55,20,9497,287.0,7.2,11,1094.2,9,8.9
2023-01-31,CUST_160,prod_05,12048.0,54,8316,472.5,1.8,14,992.9,9,17.7
2023-01-31,CUST_038,prod_04,4836.53,15,4597,376.8,3.4,9,173.5,8,12.9
2023-01-31,CUST_083,prod_10,7674.11,26,5761,148.8,6.3,4,662.3,8,9.2
2023-01-31,CUST_011,prod_06,5293.44,24,2387,380.4,1.7,12,266.7,6,5.1
2023-01-31,CUST_167,prod_10,7876.78,38,5551,84.4,6.2,15,608.8,2,14.2
2023-01-31,CUST_151,prod_08,8266.67,38,5886,217.8,1.8,9,1041.5,2,8.7
2023-01-31,CUST_096,prod_01,10037.59,67,9405,472.0,7.2,6,741.7,9,13.8
2023-01-31,CUST_025,prod_04,10771.44,101,10460,86.0,7.6,16,444.0,8,7.2
2023-01-31,CUST_182,prod_01,9131.43,91,4985,460.6,5.9,10,363.2,2,11.5
2023-01-31,CUST_007,prod_06,9155.38,77,4287,333.0,10.4,10,417.0,3,19.7
2023-01-31,CUST_010,prod_04,8542.78,29,9078,72.0,7.8,14,1001.1,6,10.5
2023-01-31,CUST_127,prod_09,12074.19,66,5908,402.4,7.6,12,1029.8,8,19.7
2023-01-31,CUST_125,prod_10,7928.63,24,3300,533.7,6.1,6,839.6,3,12.5
2023-01-31,CUST_186,prod_01,8633.97,45,1971,125.6,3.9,12,931.5,2,16.8
2023-01-31,CUST_175,prod_09,7548.99,53,9739,421.0,6.0,11,245.3,8,7.6
2023-01-31,CUST_152,prod_04,5178.61,23,1208,321.9,7.3,15,259.1,4,2.2
2023-01-31,CUST_187,prod_09,12694.56,86,9397,486.9,4.4,16,1017.3,6,12.8
2023-01-31,CUST_107,prod_04,8279.23,95,8931,274.0,2.0,15,195.5,4,11.4
2023-01-31,CUST_152,prod_03,10693.9,77,9442,487.9,8.8,15,652.8,3,16.8
2023-01-31,CUST_166,prod_07,10429.27,95,2414,278.4,6.8,7,470.7,7,8.2
2023-01-31,CUST_147,prod_04,8195.85,20,6774,476.0,8.0,3,664.1,9,18.2
2023-01-31,CUST_127,prod_02,9313.04,66,5132,96.9,8.5,14,696.9,7,16.3
2023-01-31,CUST_011,prod_09,8737.0,43,8847,184.8,10.7,3,625.8,9,16.6
2023-01-31,CUST_042,prod_10,11785.73,78,3709,480.5,10.8,11,985.6,3,13.5
2023-01-31,CUST_178,prod_08,11688.9,110,4343,167.0,2.4,14,827.0,4,6.5
2023-01-31,CUST_158,prod_10,6917.6,26,5786,538.2,1.7,8,367.3,6,14.2
2023-01-31,CUST_057,prod_10,10148.12,94,10883,548.7,8.9,3,469.8,8,8.2
2023-01-31,CUST_041,prod_08,6713.88,63,8684,159.2,8.1,8,283.7,2,12.3
2023-01-31,CUST_007,prod_01,12598.27,82,10033,217.9,10.0,12,792.3,8,13.2
2023-01-31,CUST_125,prod_07,7311.32,22,1508,71.8,7.2,4,712.3,7,7.7
2023-01-31,CUST_044,prod_04,12400.01,80,5867,440.8,9.9,12,786.5,9,16.8
2023-01-31,CUST_083,prod_04,6813.26,22,2411,106.6,9.9,14,385.6,9,18.8
2023-01-31,CUST_077,prod_06,10365.37,52,2212,421.4,6.3,8,676.8,9,19.2
2023-01-31,CUST_166,prod_04,8717.71,44,10987,173.9,3.2,9,614.3,7,9.8
2023-01-31,CUST_183,prod_05,9580.88,58,5909,295.8,9.6,10,571.9,7,9.4
2023-01-31,CUST_083,prod_03,11721.37,99,6860,111.7,5.9,16,611.7,8,12.8
2023-01-31,CUST_051,prod_01,9776.31,15,2417,443.5,11.0,9,971.0,9,4.1
2023-01-31,CUST_086,prod_04,9334.43,30,10234,390.4,9.9,10,1016.3,6,8.3
2023-01-31,CUST_078,prod_05,6995.45,74,1372,92.3,4.0,10,224.7,3,19.7
2023-01-31,CUST_088,prod_01,10719.77,90,10660,384.2,10.9,8,724.9,9,13.4
2023-01-31,CUST_157,prod_02,11714.63,54,9310,107.8,5.7,16,865.9,8,17.3
2023-01-31,CUST_128,prod_07,12695.79,89,8682,296.4,1.7,8,938.6,6,17.4
2023-01-31,CUST_013,prod_05,7536.6,16,8530,264.6,2.8,3,872.5,7,7.6
2023-01-31,CUST_050,prod_09,12529.44,94,1724,515.1,6.4,7,958.9,2,6.5
2023-01-31,CUST_041,prod_10,5738.51,23,7036,391.1,7.9,6,409.7,7,16.0
2023-01-31,CUST_115,prod_02,9804.4,96,2528,369.8,2.9,8,419.5,7,16.0
2023-01-31,CUST_090,prod_06,5809.67,41,3643,63.2,9.7,3,365.9,8,20.6
2023-01-31,CUST_095,prod_01,7874.81,58,3840,507.5,3.3,15,252.8,6,21.4
2023-01-31,CUST_084,prod_07,6606.11,21,3040,84.6,5.8,10,585.2,4,9.3
2023-01-31,CUST_198,prod_10,10675.63,92,4673,457.3,5.8,15,149.9,9,12.1
2023-01-31,CUST_035,prod_03,6170.08,22,5704,246.0,9.0,14,354.8,7,9.7
2023-01-31,CUST_153,prod_04,8900.29,101,8907,495.8,7.3,10,164.2,2,9.7
2023-01-31,CUST_196,prod_01,6978.48,38,4282,255.1,5.0,9,417.0,6,5.1
2023-01-31,CUST_053,prod_07,11523.25,53,7352,228.1,6.1,12,822.1,9,13.5
2023-01-31,CUST_153,prod_03,11653.02,95,4056,199.1,2.7,16,698.0,7,10.1
2023-01-31,CUST_098,prod_06,13632.8,103,7944,99.6,3.9,12,850.7,9,21.1
2023-01-31,CUST_078,prod_04,9708.02,72,10978,321.0,2.3,11,638.8,9,9.9
2023-01-31,CUST_063,prod_06,8457.53,64,1859,542.1,3.3,8,415.0,9,3.8
2023-01-31,CUST_110,prod_06,7962.55,26,8275,447.3,5.2,10,575.1,9,6.7
2023-01-31,CUST_024,prod_07,12292.31,97,6989,66.2,8.7,6,1085.1,3,4.4
2023-01-31,CUST_173,prod_07,10116.6,37,9005,350.5,2.5,11,932.6,6,7.9
2023-01-31,CUST_138,prod_02,7267.56,62,10011,168.6,1.6,14,147.8,2,17.2
2023-01-31,CUST_166,prod_08,9289.39,62,2615,127.5,7.2,9,875.8,3,10.3
2023-01-31,CUST_034,prod_06,10297.95,80,9353,360.6,9.3,11,550.8,4,16.5
2023-01-31,CUST_106,prod_03,7833.96,13,7037,531.1,1.9,14,644.9,8,20.0
2023-01-31,CUST_077,prod_02,9007.5,89,9968,152.4,4.7,6,447.4,7,13.7
2023-01-31,CUST_196,prod_02,8908.2,99,9737,143.0,10.4,10,552.9,3,6.5
2023-01-31,CUST_146,prod_01,6741.53,21,10135,127.6,5.5,14,562.6,3,19.4
2023-01-31,CUST_045,prod_04,5619.63,40,9119,395.8,8.7,14,137.2,2,4.9
2023-01-31,CUST_009,prod_08,11974.49,79,6383,116.8,7.3,13,1057.7,3,9.3
2023-01-31,CUST_049,prod_02,7416.2,38,10388,336.3,2.4,3,822.1,2,20.4
2023-01-31,CUST_147,prod_10,7334.43,66,8742,524.3,2.3,3,181.2,3,15.7
2023-01-31,CUST_068,prod_07,6451.19,31,4314,155.5,10.5,6,489.3,9,7.3
2023-01-31,CUST_109,prod_07,10813.0,84,8482,312.9,9.1,4,1050.0,7,2.7
2023-01-31,CUST_061,prod_01,8182.57,64,8658,169.6,10.3,9,765.4,3,5.9
2023-01-31,CUST_061,prod_09,5064.22,24,2923,242.5,1.8,16,259.6,2,12.3
2023-01-31,CUST_121,prod_10,9726.8,101,10607,548.2,4.8,7,139.6,4,19.4
2023-01-31,CUST_065,prod_10,10625.93,99,3014,462.4,5.0,13,179.6,8,19.7
2023-01-31,CUST_116,prod_06,9854.84,52,3069,340.2,7.5,11,718.5,9,2.2
2023-01-31,CUST_189,prod_02,10459.8,99,5944,521.2,2.9,7,412.9,3,18.6
2023-01-31,CUST_044,prod_10,10378.91,82,9483,145.1,7.3,14,571.2,4,9.9
2023-01-31,CUST_184,prod_01,8630.97,52,10592,435.9,2.2,15,578.6,4,12.0
2023-01-31,CUST_153,prod_08,12295.74,102,8395,410.4,6.8,16,672.0,9,7.6
2023-01-31,CUST_104,prod_04,8140.99,35,3859,284.6,6.8,16,613.5,4,5.4
2023-01-31,CUST_034,prod_09,6937.56,31,5423,363.3,8.4,16,434.0,3,2.4
2023-01-31,CUST_161,prod_06,7413.26,67,3462,119.7,6.2,4,430.5,4,21.3
2023-01-31,CUST_017,prod_10,6425.75,28,9623,157.7,6.2,8,642.6,2,11.0
2023-01-31,CUST_193,prod_04,7982.54,15,1672,354.1,8.6,15,691.3,6,15.3
2023-01-31,CUST_149,prod_05,10184.53,38,3913,511.4,10.3,13,906.1,4,18.0
2023-01-31,CUST_121,prod_05,7770.51,81,9452,182.9,7.8,3,175.5,9,13.6
2023-01-31,CUST_169,prod_09,11226.41,74,10334,376.9,6.3,8,921.5,2,16.7
2023-01-31,CUST_010,prod_03,8872.81,66,7077,171.6,8.1,11,361.4,7,15.7
2023-01-31,CUST_200,prod_01,9155.92,101,4992,418.0,2.6,9,230.5,7,15.5
2023-01-31,CUST_137,prod_09,10831.71,110,2853,260.5,6.3,4,658.9,9,2.5
2023-01-31,CUST_063,prod_02,8426.47,103,9896,151.3,8.2,3,147.4,6,5.8
2023-01-31,CUST_172,prod_05,6086.71,32,8873,454.1,4.7,13,224.7,2,15.0
2023-01-31,CUST_110,prod_02,9725.48,57,5506,476.5,2.3,3,689.7,8,7.1
2023-01-31,CUST_066,prod_06,12602.06,90,10432,434.3,5.8,14,797.9,8,7.0
2023-01-31,CUST_118,prod_09,6813.52,22,2709,220.9,10.3,16,731.9,3,6.2
2023-01-31,CUST_160,prod_06,5748.49,23,2839,503.3,10.4,7,265.6,6,17.6
2023-01-31,CUST_132,prod_08,8238.49,70,5777,382.2,8.6,3,416.3,6,15.5
2023-01-31,CUST_111,prod_05,9687.65,38,7159,313.9,7.6,10,943.1,9,19.9
2023-01-31,CUST_117,prod_09,12791.92,92,9810,534.1,7.4,11,824.0,3,3.8
2023-01-31,CUST_072,prod_06,8024.06,25,10286,137.1,7.5,4,818.8,8,20.0
2023-01-31,CUST_032,prod_05,10777.13,79,8775,505.3,5.3,16,365.7,9,14.8
2023-01-31,CUST_017,prod_05,7234.0,48,1506,407.5,5.7,6,276.0,6,14.4
2023-01-31,CUST_067,prod_09,4290.38,24,5721,350.5,7.4,9,112.7,2,18.9
2023-01-31,CUST_006,prod_09,8646.43,73,10914,80.6,6.3,13,393.1,8,21.7
2023-01-31,CUST_070,prod_04,5985.01,32,2277,423.8,4.6,9,326.5,4,8.4
2023-01-31,CUST_131,prod_05,14494.02,99,3072,488.6,7.8,12,1029.6,7,3.3
2023-01-31,CUST_111,prod_07,8778.02,84,7450,217.8,8.8,4,539.4,7,16.7
2023-01-31,CUST_080,prod_08,7159.24,42,9516,456.9,5.2,3,264.4,8,14.2
2023-01-31,CUST_157,prod_01,9732.69,108,1141,228.2,9.2,11,541.3,3,9.8
2023-01-31,CUST_024,prod_08,12353.48,88,2417,524.8,4.8,8,816.6,9,12.1
2023-01-31,CUST_071,prod_05,8709.82,19,9404,144.8,4.5,9,838.5,9,15.9
2023-01-31,CUST_149,prod_04,10233.15,96,6828,158.7,5.6,16,418.1,8,6.8
2023-01-31,CUST_096,prod_05,12261.7,105,2900,374.2,4.8,12,1001.9,6,12.3
2023-01-31,CUST_103,prod_07,9716.77,48,7770,270.1,2.0,15,639.2,8,16.7
2023-01-31,CUST_021,prod_06,9136.1,88,7542,453.5,4.0,6,380.5,2,14.0
2023-01-31,CUST_084,prod_10,6098.52,20,2331,263.2,7.1,13,466.0,6,17.6
2023-01-31,CUST_075,prod_10,5445.38,28,7252,86.9,7.0,15,187.7,7,21.0
2023-01-31,CUST_188,prod_07,10560.09,87,8552,265.6,4.6,9,814.9,7,18.4
2023-01-31,CUST_155,prod_02,12429.35,85,7673,410.9,4.2,11,930.8,6,17.4
2023-01-31,CUST_006,prod_02,14419.69,105,10673,100.3,9.9,16,1070.8,8,15.6
2023-01-31,CUST_039,prod_08,11004.61,59,5986,527.8,9.8,14,758.5,4,6.4
2023-01-31,CUST_186,prod_05,5922.21,46,9578,121.5,10.6,11,292.3,2,3.2
2023-01-31,CUST_097,prod_04,8376.67,21,8882,104.1,1.6,3,839.8,9,13.8
2023-01-31,CUST_025,prod_08,6329.59,23,4333,274.7,8.7,14,360.9,6,20.4
2023-01-31,CUST_045,prod_10,4951.07,18,7370,305.3,8.9,10,230.7,8,7.6
2023-01-31,CUST_004,prod_10,8227.42,85,6826,226.9,5.2,10,189.6,6,2.3
2023-01-31,CUST_007,prod_10,11416.09,97,6207,157.0,3.2,16,811.4,6,21.1
2023-01-31,CUST_107,prod_09,6522.64,57,4887,87.5,9.3,8,407.0,3,18.2
2023-01-31,CUST_081,prod_08,9768.1,56,1289,194.9,4.0,7,947.6,8,8.7
2023-01-31,CUST_075,prod_05,6958.38,55,10227,250.2,2.6,14,241.9,2,11.9
2023-01-31,CUST_170,prod_10,9393.46,97,4552,99.8,3.0,10,411.8,8,10.5
2023-01-31,CUST_138,prod_01,11254.01,75,3716,496.3,9.7,15,809.4,8,9.8
2023-01-31,CUST_081,prod_09,15103.2,110,7143,233.8,6.8,11,1084.1,6,17.4
2023-01-31,CUST_005,prod_09,11150.21,55,7466,333.7,5.3,10,979.3,9,10.4
2023-01-31,CUST_197,prod_01,7247.11,35,9976,180.6,4.7,6,623.5,6,17.7
2023-01-31,CUST_035,prod_06,8875.67,26,3476,211.2,2.8,4,849.0,8,18.3
2023-01-31,CUST_082,prod_06,7719.72,56,3132,444.6,3.8,9,252.6,6,6.0
2023-01-31,CUST_012,prod_10,7389.6,48,7723,241.8,4.4,16,275.7,3,16.7
2023-01-31,CUST_036,prod_09,13090.69,106,7059,479.2,9.6,10,912.2,7,8.2
2023-01-31,CUST_107,prod_02,9418.17,53,4510,512.0,8.6,13,669.5,9,6.7
2023-01-31,CUST_193,prod_10,9276.44,69,2902,134.8,4.4,12,648.3,3,14.0
2023-01-31,CUST_047,prod_09,8259.7,72,3549,148.5,2.3,6,428.1,8,5.5
2023-01-31,CUST_076,prod_03,5234.8,42,10563,214.8,4.7,9,124.5,4,18.8
2023-01-31,CUST_065,prod_08,12492.38,100,4274,300.8,4.5,9,835.4,4,6.6
2023-01-31,CUST_196,prod_10,9368.13,47,10496,200.7,3.4,11,629.5,9,19.5
2023-01-31,CUST_171,prod_06,8172.83,44,6103,444.6,5.9,4,695.9,8,5.3
2023-01-31,CUST_036,prod_02,7900.58,18,4438,498.7,8.4,8,757.1,3,18.6
2023-01-31,CUST_070,prod_10,11369.34,106,9979,280.5,9.8,7,617.9,3,7.7
2023-01-31,CUST_192,prod_01,9767.81,66,5886,154.8,2.5,12,738.8,3,5.8
2023-01-31,CUST_004,prod_03,9328.57,46,10695,63.6,9.7,14,920.3,2,18.7
2023-01-31,CUST_151,prod_01,13861.62,110,3475,418.0,9.6,13,1048.4,2,2.2
2023-01-31,CUST_156,prod_02,12391.2,94,2987,362.8,8.8,12,772.3,6,7.4
2023-01-31,CUST_101,prod_06,9514.7,107,1169,329.2,2.2,16,293.5,4,8.0
2023-01-31,CUST_143,prod_07,10902.27,82,5741,508.3,8.6,13,760.1,6,18.3
2023-01-31,CUST_088,prod_04,4400.69,21,9747,240.2,3.7,7,141.6,4,14.9
2023-01-31,CUST_108,prod_04,11412.95,106,3722,183.0,7.6,15,353.9,6,21.2
2023-01-31,CUST_060,prod_03,5606.89,37,6974,372.0,1.1,12,192.7,3,3.5
2023-01-31,CUST_088,prod_03,11829.43,79,8042,416.0,5.6,7,961.5,2,8.9
2023-01-31,CUST_183,prod_02,11863.04,73,6387,461.4,6.5,12,732.1,8,18.6
2023-01-31,CUST_109,prod_03,10937.44,105,4745,467.3,6.7,12,401.7,7,12.2
2023-01-31,CUST_012,prod_03,8121.13,55,4781,397.5,5.4,9,290.2,9,5.2
2023-01-31,CUST_169,prod_01,8649.01,67,8243,234.0,10.3,12,204.0,8,16.8
2023-01-31,CUST_197,prod_04,7800.21,41,2201,349.5,9.0,14,668.4,3,21.3
2023-01-31,CUST_103,prod_10,12352.98,67,2084,361.0,3.2,15,736.1,8,16.4
2023-01-31,CUST_042,prod_02,11984.1,81,10757,348.0,10.3,12,1015.8,3,10.3
2023-01-31,CUST_158,prod_02,8019.27,94,8104,129.8,10.2,14,113.2,8,16.0
2023-01-31,CUST_105,prod_03,9761.19,95,10171,411.6,1.6,3,543.0,4,16.4
2023-01-31,CUST_184,prod_10,9443.37,48,1122,203.5,8.8,4,875.5,3,19.2
2023-01-31,CUST_114,prod_08,7930.32,70,9743,221.2,1.1,4,346.7,3,16.4
2023-01-31,CUST_120,prod_08,9096.22,81,8005,361.0,9.0,8,469.7,9,16.6
2023-01-31,CUST_095,prod_03,8436.36,92,7099,106.7,1.3,9,308.8,2,20.4
2023-01-31,CUST_117,prod_01,6974.02,63,6235,117.3,7.5,7,359.9,7,3.3
2023-01-31,CUST_041,prod_01,10201.95,106,1471,79.2,3.0,7,634.1,6,7.2
2023-01-31,CUST_198,prod_09,11918.52,97,6189,462.5,7.7,16,601.6,8,18.8
2023-01-31,CUST_058,prod_02,11218.18,58,1643,503.8,9.0,11,844.3,9,8.0
2023-01-31,CUST_184,prod_05,6095.31,70,9734,369.9,10.5,3,209.1,4,5.6
2023-01-31,CUST_159,prod_08,6423.18,19,7943,92.7,3.9,6,640.0,4,6.4
2023-01-31,CUST_175,prod_10,11203.51,88,7653,390.0,1.5,15,507.9,7,18.4
2023-01-31,CUST_034,prod_05,6467.93,31,4849,433.0,3.6,11,390.5,6,6.4
2023-01-31,CUST_187,prod_10,5546.41,34,5296,99.8,10.1,14,257.4,3,15.1
2023-01-31,CUST_080,prod_02,10190.3,63,8062,233.8,3.3,13,562.6,9,4.5
2023-01-31,CUST_090,prod_04,11706.37,108,7084,485.2,1.9,14,339.7,7,20.9
2023-01-31,CUST_025,prod_09,11229.74,95,2644,59.1,4.9,3,903.5,6,11.9
2023-01-31,CUST_011,prod_10,7806.38,20,6119,217.0,4.1,8,935.5,2,16.8
2023-01-31,CUST_120,prod_10,6560.04,34,10394,292.3,4.0,8,596.6,6,2.2
2023-01-31,CUST_066,prod_01,7508.64,54,9207,527.1,8.8,13,244.3,7,15.5
2023-01-31,CUST_180,prod_07,11613.38,75,2766,516.8,10.6,10,925.1,7,5.4
2023-01-31,CUST_199,prod_06,7992.59,37,5534,333.5,3.2,7,649.3,7,6.3
2023-01-31,CUST_185,prod_05,8698.57,82,7644,348.8,9.8,6,224.5,8,10.9
2023-01-31,CUST_104,prod_08,11915.97,84,5235,547.4,7.1,7,644.1,9,21.8
2023-01-31,CUST_059,prod_02,10421.89,96,7443,264.0,3.7,7,476.2,8,15.7
2023-02-28,CUST_032,prod_03,12474.61,108,5326,462.8,1.3,6,841.8,6,20.7
2023-02-28,CUST_039,prod_02,9399.55,104,7614,102.7,3.4,9,158.6,6,23.6
2023-02-28,CUST_022,prod_03,9209.3,83,5395,457.5,7.1,14,245.6,5,7.7
