billing_date,cust_id,product_id,revenue,active_users,total_logins,api_calls,storage_used_gb,support_tickets,response_time_hrs,feature_usage_score,customer_satisfaction,training_sessions,integration_count,data_processed_tb,uptime_percentage,performance_score,target
2023-03-31,CUST_0002,prod_08,3564.24,186.0,1662.0,2653.0,172.9,1.0,12.9,0.45,9.7,5.0,11.0,38.0,33.17,0.69,Engaged
2023-04-30,CUST_0002,prod_08,861.76,122.0,927.0,7371.0,18.2,1.0,21.3,0.67,3.4,9.0,5.0,6.2,99.75,0.32,Active
2023-05-31,CUST_0002,prod_08,660.56,27.0,1772.0,13095.0,35.8,9.0,13.6,0.75,5.0,2.0,28.0,1.0,96.68,0.94,Active
2023-06-30,CUST_0002,prod_08,1347.79,107.0,191.0,13623.0,126.8,0.0,9.3,0.51,6.7,10.0,13.0,34.3,98.53,0.76,Engaged
2023-07-31,CUST_0002,prod_08,1764.33,24.0,3850.0,10969.0,18.4,6.0,15.5,0.36,8.4,3.0,2.0,1.9,100.2,0.87,Engaged
2023-08-31,CUST_0002,prod_08,1956.62,24.0,1937.0,19933.0,171.1,7.0,-0.7,0.59,9.0,7.0,15.0,14.1,98.93,1.73,Engaged
2023-09-30,CUST_0002,prod_08,318.37,33.0,817.0,17015.0,67.3,6.0,0.4,0.58,7.9,6.0,15.0,7.9,99.93,0.82,Active
2023-10-31,CUST_0002,prod_08,1069.25,145.0,757.0,19076.0,111.4,20.0,4.6,0.92,2.2,1.0,1.0,15.7,97.59,0.54,Active
2023-11-30,CUST_0002,prod_08,97.74,27.0,39.0,308.0,4.1,21.0,6.7,0.45,7.7,5.0,8.0,1.0,98.7,0.56,Cancelled
2023-01-31,CUST_0003,prod_02,374.39,58.0,1128.0,1739.0,360.7,9.0,26.6,0.69,5.7,3.0,15.0,15.9,81.67,0.37,Engaged
2023-02-28,CUST_0003,prod_02,1136.35,130.0,1652.0,9287.0,185.3,18.0,0.9,1.59,19.4,2.0,13.0,20.0,164.17,0.43,Active
2023-03-31,CUST_0003,prod_02,203.83,165.0,900.0,5254.0,69.1,9.0,9.5,0.42,2.0,0.0,11.0,9.3,97.13,0.46,Cancelled
2023-01-31,CUST_0003,prod_05,1192.35,19.0,3071.0,1185.0,36.2,8.0,8.5,0.84,14.5,6.0,2.0,1.6,98.13,0.22,Active
2023-02-28,CUST_0003,prod_05,1414.43,222.0,2040.0,26630.0,14.0,3.0,11.1,0.9,2.3,4.0,16.0,4.2,97.78,0.97,Active
2023-03-31,CUST_0003,prod_05,983.24,84.0,2257.0,2831.0,65.2,-1.0,10.6,0.43,4.8,6.0,2.0,10.5,99.26,0.19,Engaged
2023-04-30,CUST_0003,prod_05,3824.72,189.0,1996.519612347498,30960.0,38.7,0.0,23.9,0.5,9.8,6.0,2.4730510813406137,1.6,95.73065051013154,0.68,Engaged
2023-05-31,CUST_0003,prod_05,1221.76,84.0,3707.0,21828.0,316.0,0.0,0.6,1.21,7.9,11.0,11.0,8.2,98.5,0.27,Active
2023-06-30,CUST_0003,prod_05,497.04,124.0,193.0,2586.0,105.4,17.0,4.8,0.74,6.7,6.0,15.0,9.9,99.4,0.84,Active
2023-07-31,CUST_0003,prod_05,2452.45,164.0,16.484995772684567,24941.0,19.23167301081336,22.003013937204237,12.82085563867544,0.13,18.5,0.0,10.0,35.0,96.94,0.77,Active
2023-08-31,CUST_0003,prod_05,1755.04,46.0,1630.0,9856.0,17.7,1.0,4.6,1.32,6.6,16.0,19.0,17.6,99.05,0.73,Engaged
2023-09-30,CUST_0003,prod_05,326.3,181.0,139.0,7067.0,55.1,3.0,2.0,0.53,4.9,1.0,4.0,4.9,97.23,0.57,Engaged
2023-10-31,CUST_0003,prod_05,531.73,126.0,822.0,8589.0,120.4,0.0,0.8,1.6,6.6,7.0,14.0,20.2,73.94,0.42,Engaged
2023-11-30,CUST_0003,prod_05,180.97,82.0,1487.0,25609.0,392.2,2.0,13.2,0.56,11.3,0.0,6.0,11.6,98.97,1.44,Active
2023-12-31,CUST_0003,prod_05,604.64,4.0,681.0,1276.0,2.7,4.0,6.9,0.68,1.8,0.0,8.0,7.9,99.08,0.19,Churned
2023-01-31,CUST_0003,prod_10,1023.7,126.0,292.0,4037.0,15.7,2.0,11.9,0.57,7.2,3.0,2.0,14.2,97.96,0.46,Engaged
2023-02-28,CUST_0003,prod_10,2160.53,28.0,273.0,22302.0,8.3,9.0,10.2,1.51,8.9,4.0,6.0,5.3,97.03,0.4,Active
2023-03-31,CUST_0003,prod_10,1618.49,146.0,1794.0,1872.0,32.5,9.0,0.9,0.31,4.3,2.0,17.0,6.7,63.78,0.81,Engaged
2023-04-30,CUST_0003,prod_10,1900.85,89.0,1072.0,1471.0,26.8,11.0,6.3,1.56,2.5,4.0,14.0,21.1,98.79,0.7,Engaged
2023-05-31,CUST_0003,prod_10,2083.59,130.0,2236.0,16305.0,93.0,0.0,2.6,1.96,11.1,3.0,11.0,38.5,99.87,0.33,Active
2023-06-30,CUST_0003,prod_10,1294.41,23.0,720.0,11342.0,103.5,14.0,2.1,0.24,3.5,2.0,1.0,4.8,97.33,0.44,Churned
2023-01-31,CUST_0004,prod_06,548.67,136.0,3415.0,4693.0,28.8,5.0,24.3,0.57,10.2,1.0,6.0,20.8,98.67,1.04,Active
2023-02-28,CUST_0004,prod_06,360.0882998188574,15.0,106.0,1674.0,202.1,6.445037715174034,8.687975258705869,0.73,4.0,8.0,29.0,5.2,98.49,0.25,Engaged
2023-03-31,CUST_0004,prod_06,3906.48,245.0,202.0,2218.0,14.7,0.0,14.3,0.72,2.3,6.0,3.0,13.6,98.05,0.99,Active
2023-04-30,CUST_0004,prod_06,1960.82,115.0,2904.0,8998.0,23.1,11.0,5.8,0.44,11.7,1.0,7.0,6.1,129.12,0.7,Engaged
2023-05-31,CUST_0004,prod_06,2637.83,138.0,946.0,14714.0,13.9,8.0,2.2,0.63,5.2,1.0,5.0,0.9,55.01,0.62,Active
2023-06-30,CUST_0004,prod_06,1811.85,129.0,1283.0,36253.0,130.4,3.0,4.4,0.92,6.9,3.0,22.0,1.4,168.01,0.62,Active
2023-07-31,CUST_0004,prod_06,2317.562550303143,17.0,401.0,8361.871076384987,90.73080341027584,13.0,37.9,0.42,18.867364792817213,1.0,7.188835429894087,10.2,98.29,0.26,Cancelled
2023-01-31,CUST_0005,prod_03,1798.72,69.0,188.0,1736.0,353.7,4.0,1.7,1.74,6.7,3.0,2.0,21.0,105.15,0.72,Active
2023-02-28,CUST_0005,prod_03,1368.01,23.0,1429.0,3154.0,132.8,1.0,4.7,0.19,5.1,5.0,5.0,10.4,98.49,0.56,Engaged
2023-03-31,CUST_0005,prod_03,1068.37,29.0,1210.0,7129.0,16.3,15.127887408265169,2.8,0.89,5.8,5.0,13.577427194656511,1.1,97.23,0.76,Engaged
2023-04-30,CUST_0005,prod_03,1319.87,19.0,928.0,18160.0,66.2,6.0,13.3,1.7,9.2,1.0,2.0,6.9,97.65,0.99,Engaged
2023-05-31,CUST_0005,prod_03,1603.31,178.0,2001.0,8713.0,162.5,0.0,18.1,0.43,19.2,4.0,15.0,16.8,99.96,1.07,Engaged
2023-06-30,CUST_0005,prod_03,897.31,141.0,1693.0,20184.0,154.7,1.0,0.7,1.06,9.3,6.0,5.0,4.0,97.15,0.74,Engaged
2023-07-31,CUST_0005,prod_03,1663.85,333.0,1013.0,6182.0,28.3,3.0,3.5,0.18,6.7,4.0,17.0,18.5,98.78,0.93,Engaged
2023-08-31,CUST_0005,prod_03,1897.38,110.0,866.0,13732.0,215.4,4.0,6.1,0.5,6.5,3.0,12.0,34.1,97.18,1.93,Engaged
2023-09-30,CUST_0005,prod_03,1484.74,57.0,1331.0,3695.0,20.5,8.0,10.0,0.64,6.5,5.0,3.0,6.4,99.46,0.45,Active
2023-10-31,CUST_0005,prod_03,1660.7,80.0,868.0,11931.0,117.9,6.0,5.4,0.74,5.6,4.0,12.0,11.9,119.57,0.59,Active
2023-11-30,CUST_0005,prod_03,529.77,75.0,462.0,19173.0,347.0,0.0,13.8,0.94,16.9,6.0,10.0,26.8,104.45,0.92,Engaged
2023-12-31,CUST_0005,prod_03,1665.42,109.0,234.0,6863.0,35.1,6.0,-0.1,0.57,9.6,3.0,20.0,37.8,46.11,0.59,Engaged
2024-01-31,CUST_0005,prod_03,1150.98,170.0,1491.0,13455.0,97.3,18.0,31.3,0.68,4.4,10.0,2.0,0.9,99.02,0.96,Active
2024-02-29,CUST_0005,prod_03,1442.94,147.0,233.0,6135.0,128.1,20.0,14.0,1.56,5.9,4.0,9.0,20.3,99.21,0.9,Active
2024-03-31,CUST_0005,prod_03,636.83,34.0,1212.0,18927.0,11.7,8.0,12.0,0.49,7.0,11.0,14.0,15.4,115.98,0.65,Engaged
2024-04-30,CUST_0005,prod_03,903.33,222.0,581.0,8063.300495750239,68.5,12.880332416915373,25.376684941497675,0.62,5.7,4.420374000826445,3.0,19.0,98.96,1.0,Active
2024-05-31,CUST_0005,prod_03,1261.77,14.0,2194.0,7173.0,165.0,10.0,6.4,0.54,7.5,0.0,11.0,20.9,99.76,0.83,Active
2024-06-30,CUST_0005,prod_03,3357.56,135.0,754.0,11404.0,120.1,0.0,20.3,0.47,15.4,2.0,27.0,18.2,98.9,0.4,Active
2024-07-31,CUST_0005,prod_03,963.46,72.0,500.0,7957.0,43.3,7.0,5.9,0.48,10.3,15.0,6.0,17.4,40.2,0.62,Engaged
2024-08-31,CUST_0005,prod_03,1334.24,239.0,1042.0,4295.0,363.8,4.0,24.1,0.85,5.7,8.0,14.0,1.4,159.31,0.77,Active
2024-09-30,CUST_0005,prod_03,64.07,4.0,1124.0,5574.0,32.4,8.0,14.3,0.2,5.6,5.0,11.0,7.9,67.7,0.63,Churned
2023-01-31,CUST_0005,prod_04,582.86,172.0,731.0,9176.0,58.4,0.0,14.0,0.95,1.9,2.0,6.0,7.6,115.37,0.56,Active
2023-02-28,CUST_0005,prod_04,466.71,26.0,504.0,1153.0,47.8,4.0,13.1,0.65,6.0,1.0,2.0,10.0,99.51,0.6,Engaged
2023-03-31,CUST_0005,prod_04,326.24,65.0,569.5761336388762,10611.0,159.6,5.0,22.37849800673133,1.07,12.8,6.0,8.0,2.5,97.83193312673322,0.48,Engaged
2023-04-30,CUST_0005,prod_04,1042.45,20.0,94.0,1875.0,47.8,1.0,15.8,0.49,7.5,3.0,11.0,1.2,99.28,0.81,Engaged
2023-05-31,CUST_0005,prod_04,348.55,114.0,819.0,1862.0,62.9,8.0,13.3,0.39,7.4,6.0,16.0,4.7,31.86,0.59,Active
2023-06-30,CUST_0005,prod_04,1422.07,243.0,3212.0,15528.0,297.5,6.0,4.4,0.64,10.2,7.0,2.0,25.4,99.77,0.55,Active
2023-07-31,CUST_0005,prod_04,2098.39,290.0,1836.0,24405.0,215.5,10.0,-0.0,0.56,4.3,1.0,5.0,14.5,98.15,0.83,Active
2023-08-31,CUST_0005,prod_04,1081.9,88.0,477.0,31171.0,21.6,15.0,4.8,1.58,6.1,2.0,11.0,5.8,98.61,0.46,Active
2023-09-30,CUST_0005,prod_04,596.31,80.0,284.0,2040.0,135.1,4.0,0.9,0.87,8.5,0.0,2.0,15.3,97.0,0.81,Active
2023-10-31,CUST_0005,prod_04,1788.12,68.0,1152.0,14011.0,140.0,3.0,15.2,0.81,6.3,13.0,7.0,2.6,87.21,0.56,Active
2023-11-30,CUST_0005,prod_04,1200.07,340.0,3001.0,13693.0,126.8,9.0,12.8,0.56,6.0,3.0,10.0,2.4,79.89,0.9,Active
2023-12-31,CUST_0005,prod_04,405.89,67.0,1465.0,4236.0,159.4,8.0,6.0,1.02,5.7,6.0,10.0,5.4,97.05,0.69,Engaged
2024-01-31,CUST_0005,prod_04,1640.64,135.0,302.0,5293.0,106.3,7.0,9.0,0.53,8.8,8.0,13.0,4.3,98.98,0.91,Active
2024-02-29,CUST_0005,prod_04,1185.27,192.0,1840.0,18838.0,20.9,1.0,0.9,0.5,19.2,1.0,11.0,1.5,98.16,0.78,Engaged
2024-03-31,CUST_0005,prod_04,1449.69,95.0,1159.0,21791.0,30.3,0.0,9.4,1.8,7.6,0.0,5.0,19.1,98.84,0.98,Engaged
2024-04-30,CUST_0005,prod_04,1857.37,220.0,1120.0,7682.0,203.4,8.0,16.1,0.54,5.9,1.0,7.0,14.7,99.65,0.58,Engaged
2024-05-31,CUST_0005,prod_04,555.28,37.5186693400756,519.0,8070.0,62.3,2.0,7.2,0.92,2.8899783101275904,5.0,2.0,2.553063241509136,97.37,0.1334689632050453,Engaged
2024-06-30,CUST_0005,prod_04,1901.92,196.0,930.0,19552.0,157.3,6.0,13.3,1.66,15.1,6.0,14.0,4.1,132.05,0.53,Active
2024-07-31,CUST_0005,prod_04,1542.14,134.0,414.0,2056.0,21.8,0.0,0.7,0.79,7.3,2.0,7.0,8.7,133.37,0.27,Engaged
2024-08-31,CUST_0005,prod_04,413.64,49.0,918.0,10046.0,21.3,1.0,0.4,0.91,5.3,1.0,13.0,0.8,97.47,1.39,Active
2024-09-30,CUST_0005,prod_04,1400.88,85.0,196.0,12103.0,208.7,1.0,7.9,0.6,6.0,6.0,4.0,2.4,98.35,0.84,Engaged
2024-10-31,CUST_0005,prod_04,263.08,216.0,2797.0,8522.0,315.6,7.0,13.0,0.9,8.7,6.0,2.0,8.7,98.32,0.97,Engaged
2024-11-30,CUST_0005,prod_04,1565.38,12.0,1453.0,15893.0,86.4,7.0,14.7,0.66,6.2,1.0,13.0,6.5,99.71,0.96,Engaged
2024-12-31,CUST_0005,prod_04,1575.51,172.0,941.9214473861314,18274.0,50.3,5.0,13.3,0.8463409884499283,0.6879967981314401,6.0,6.0,15.7,39.89176532939652,0.66,Engaged
2025-01-31,CUST_0005,prod_04,403.13,21.0,645.0,2203.0,26.5,10.107733185964994,2.4,0.6619170835904634,6.3,2.0,6.567381682380889,8.920249111382084,99.24,1.11,Engaged
2023-01-31,CUST_0005,prod_08,1005.79,20.0,1304.0,18901.0,67.1,12.0,3.3,0.86,8.6,2.0,8.0,15.7,126.59,1.89,Active
2023-02-28,CUST_0005,prod_08,2199.2,84.0,1465.0,11203.0,141.5,2.0,6.1,0.56,13.3,1.0,5.0,0.7,99.83,0.68,Engaged
2023-03-31,CUST_0005,prod_08,1228.81,80.0,2271.0,14848.0,56.3,8.0,15.7,0.65,5.9,16.0,10.0,11.7,98.15,0.6,Engaged
2023-04-30,CUST_0005,prod_08,1470.67,131.0,1213.0,30282.0,81.8,0.0,7.1,1.56,7.6,9.0,11.0,8.1,97.53,0.82,Engaged
2023-05-31,CUST_0005,prod_08,213.8681718757152,313.0,286.0,36714.0,113.45637190431547,3.0,0.7,0.9833763527283133,7.4,4.466845481269568,2.0,6.975004163553384,42.66,1.69,Engaged
2023-06-30,CUST_0005,prod_08,3554.46,153.0,829.0,2540.0,355.1,4.0,27.2,0.25,12.9,4.0,14.0,8.7,97.31,0.71,Active
2023-07-31,CUST_0005,prod_08,2958.61,131.0,730.0,8373.0,86.3,0.0,13.7,0.42,8.7,3.0,14.0,34.8,38.84,1.0,Active
2023-08-31,CUST_0005,prod_08,957.92,151.0,568.0,588.0,121.9,7.0,-0.3,0.6,19.5,4.0,11.0,3.0,99.19,1.41,Engaged
2023-09-30,CUST_0005,prod_08,182.67,54.0,681.0,8737.0,86.7,4.0,4.6,0.4,5.2,8.0,11.0,5.3,137.8,0.11,Discontinued
2023-01-31,CUST_0006,prod_01,616.48,59.0,339.0,403.0,57.9,8.0,3.0,0.9,6.9,4.0,2.0,19.3,96.4,0.72,Discontinued
2023-01-31,CUST_0006,prod_03,1755.46,79.0,465.0,6279.0,110.5,16.0,8.3,0.7,17.4,4.0,8.0,10.9,98.69,0.78,Active
2023-02-28,CUST_0006,prod_03,1098.02,102.0,874.0,10305.12860261598,191.4286144334688,7.075970839332868,20.3,0.78,4.6,0.0,6.0,0.1,95.8,1.24,Cancelled
2023-01-31,CUST_0006,prod_04,1134.67,163.0,761.0,2010.0,133.9,6.0,4.6,0.32,10.4,7.0,9.0,6.3,97.49,0.93,Engaged
2023-02-28,CUST_0006,prod_04,1671.95,147.0,236.0,7639.0,53.2,0.0,8.9,0.76,6.1,1.0,7.0,17.7,97.91,1.72,Engaged
2023-03-31,CUST_0006,prod_04,1779.02,117.0,2547.0,15756.0,27.3,7.0,15.7,0.52,6.4,1.0,10.0,10.9,182.17,0.41,Engaged
2023-04-30,CUST_0006,prod_04,353.57,129.0,957.0,2700.0,354.4,8.0,3.5,0.49,7.7,1.0,1.0,15.9,100.14,0.29,Active
2023-05-31,CUST_0006,prod_04,1820.69,36.0,769.0,18492.0,124.3,4.0,0.7,1.71,4.9,6.0,9.0,12.4,97.05,0.73,Engaged
2023-06-30,CUST_0006,prod_04,952.5632352246708,14.0,2086.0,16786.0,96.0,7.0,1.4,1.5,7.2,6.0,5.0,8.597256824292208,98.16,0.87,Engaged
2023-07-31,CUST_0006,prod_04,3000.91,157.0,1432.0,13578.0,202.9,10.0,12.2,0.63,8.4,2.0,11.0,2.2,98.48,0.79,Active
2023-08-31,CUST_0006,prod_04,1823.62,14.0,660.0,10571.0,102.7,0.0,9.2,0.6,1.9,12.0,17.0,0.2,99.03,0.96,Active
2023-09-30,CUST_0006,prod_04,995.700238709956,173.0,349.0,2374.0,189.7,10.279720012919974,3.0,0.5639856481117425,2.9,2.0,12.0,4.3,150.54066627086175,1.99,Engaged
2023-10-31,CUST_0006,prod_04,2065.75,368.0,729.0,13947.0,41.1,1.0,0.5,0.62,7.2,8.0,29.0,1.1,97.44,0.79,Active
2023-11-30,CUST_0006,prod_04,728.08,215.0,99.0,10963.0,364.6,5.0,14.3,0.45,5.4,3.0,3.0,6.4,97.86,0.88,Engaged
2023-12-31,CUST_0006,prod_04,493.24,218.0,169.0,8132.0,120.9,2.0,10.3,0.51,6.3,15.0,2.0,10.1,97.13,0.26,Engaged
2024-01-31,CUST_0006,prod_04,421.85,103.0,1463.0,2591.0,10.6,5.0,1.2,0.3,8.4,9.0,8.0,17.8,184.26,0.86,Active
2024-02-29,CUST_0006,prod_04,1815.21,28.0,440.0,39384.0,177.5,11.0,8.3,1.05,6.7,4.0,17.0,10.3,79.24,0.71,Active
2024-03-31,CUST_0006,prod_04,1671.0,53.62536699202637,1358.0,3374.0,210.5,0.0,2.6,0.53,8.8,2.951614007675165,21.0,19.0,143.03,0.97,Active
2024-04-30,CUST_0006,prod_04,257.15,168.0,100.0,948.0,242.9,1.0,3.7,0.29,5.0,2.0,9.0,4.2,92.48,0.73,Active
2024-05-31,CUST_0006,prod_04,956.75,82.0,756.0,4215.0,176.4,10.0,11.4,0.94,3.5,4.0,20.0,1.4,96.79,0.54,Active
2024-06-30,CUST_0006,prod_04,1623.3,182.0,528.0,5252.0,346.2,8.0,8.2,0.59,4.4,15.0,27.0,1.1,79.83,0.51,Active
2024-07-31,CUST_0006,prod_04,373.88,65.0,621.0,8730.0,92.2,7.0,8.0,0.55,7.4,8.0,8.0,2.9,170.84,0.37,Engaged
2024-08-31,CUST_0006,prod_04,448.2,68.0,1595.0,14071.0,150.0,3.0,4.2,1.93,3.7,5.0,10.0,8.2,80.89,0.9,Active
2024-09-30,CUST_0006,prod_04,1583.68,135.0,1041.0,19255.0,213.7,8.0,10.0,0.9,8.8,1.0,12.0,9.2,127.1,0.75,Engaged
2024-10-31,CUST_0006,prod_04,258.55,30.538877794524964,203.68246998621376,5468.0,14.6,7.0,19.418187194883554,0.87,8.1,4.970290273067793,2.0,6.000351482882901,99.31,0.63,Active
2024-11-30,CUST_0006,prod_04,723.19,132.0,1698.0,1492.0,85.8,2.0,14.3,0.76,18.5,1.0,4.0,11.9,99.92,0.44,Active
2024-12-31,CUST_0006,prod_04,939.85,201.0,350.0,1377.0,48.0,6.0,11.3,0.51,13.8,3.0,16.0,0.8,99.53,0.81,Engaged
2025-01-31,CUST_0006,prod_04,1356.81,41.0,1050.0,17057.0,203.2,3.0,31.6,1.01,6.2,12.0,12.0,3.4,193.16,0.87,Active
2023-01-31,CUST_0007,prod_03,2070.76,77.0,967.0,31997.0,126.0,1.0,11.8,0.13,9.9,4.0,2.0,21.6,98.95,0.87,Engaged
2023-02-28,CUST_0007,prod_03,1182.65,216.0,986.0,6587.0,108.9,17.0,15.5,0.27,6.3,1.0,1.0,12.2,100.28,0.57,Engaged
2023-03-31,CUST_0007,prod_03,3006.1,144.0,1028.0,19612.0,131.1,11.0,17.9,0.5,10.7,2.0,3.0,34.5,97.67,0.52,Engaged
2023-04-30,CUST_0007,prod_03,963.1,75.0,1966.0,1805.0,52.8,6.0,1.5,1.01,8.8,4.0,6.0,10.3,95.3,0.53,Active
2023-05-31,CUST_0007,prod_03,582.36,168.0,800.0,11370.0,76.0,5.0,9.7,0.73,5.6,15.0,11.0,4.8,98.2,0.74,Active
2023-06-30,CUST_0007,prod_03,1144.08,186.0,854.0,22371.0,72.1,2.0,3.3,0.41,6.6,2.0,18.0,1.2,74.44,0.76,Active
2023-07-31,CUST_0007,prod_03,575.0,284.0,1172.0,18905.0,302.3,6.0,13.9,0.91,6.2,6.0,3.0,11.5,97.93,0.49,Active
2023-08-31,CUST_0007,prod_03,3836.17,217.0,1989.0,20471.0,94.2,1.0,14.7,0.39,6.6,6.0,9.0,13.2,100.41,1.41,Engaged
2023-09-30,CUST_0007,prod_03,2626.62,223.0,3691.0,14115.0,23.3,1.0,9.7,0.44,5.6,2.0,2.0,8.2,98.97,0.84,Engaged
2023-10-31,CUST_0007,prod_03,1288.85,143.0,1840.0,14534.0,77.8,9.0,0.3,0.49,19.1,1.0,5.0,29.7,99.9,0.69,Active
2023-11-30,CUST_0007,prod_03,1311.79,34.0,1592.0,1571.0,117.8,2.0,0.3,0.8,6.0,9.0,10.0,26.7,99.36,0.49,Engaged
2023-12-31,CUST_0007,prod_03,1445.5,227.0,3995.0,7155.0,204.6,9.0,15.5,0.86,7.9,1.0,13.0,8.9,76.22,0.73,Active
2024-01-31,CUST_0007,prod_03,1399.91,72.0,2449.0,12910.0,106.6,8.0,32.0,0.53,9.1,5.0,6.0,1.3,99.38,0.67,Active
2024-02-29,CUST_0007,prod_03,1363.65,148.0,254.0,3534.0,52.5,6.0,3.4,0.6,6.3,8.0,10.0,1.5,100.45,0.25,Active
2024-03-31,CUST_0007,prod_03,798.22,47.0,227.0,-326.2997418929976,98.9,10.0,1.815757182183792,1.86,10.3,5.0,4.491802642001755,1.5,98.58,0.5237998151697782,Active
2024-04-30,CUST_0007,prod_03,1524.58,171.0,128.0,12823.0,47.0,8.0,0.2,0.32,4.2,8.0,5.0,19.8,51.3,0.69,Engaged
2024-05-31,CUST_0007,prod_03,1743.63,61.0,1489.0,13020.0,346.9,15.0,13.2,0.41,8.3,7.0,13.0,1.5,35.08,0.61,Engaged
2024-06-30,CUST_0007,prod_03,688.41,164.0,377.0,11811.0,201.9,17.0,7.8,0.38,5.1,1.0,5.0,9.7,99.41,1.76,Active
2024-07-31,CUST_0007,prod_03,873.43,122.0,2149.0,35241.0,58.6,5.0,-1.0,0.59,3.1,2.0,12.0,14.9,97.15,0.35,Active
2024-08-31,CUST_0007,prod_03,966.31,168.0,273.0,6970.0,74.8,0.0,3.8,0.74,9.6,6.0,9.0,1.5,191.12,0.58,Engaged
2024-09-30,CUST_0007,prod_03,934.2,176.0,1211.0,8753.0,4.5151380171034745,3.0,12.8,0.53,7.3,9.727021545587142,10.0,1.9,97.83,0.5575802130076549,Active
2024-10-31,CUST_0007,prod_03,2022.85,352.0,663.0,13031.0,21.8,5.0,27.0,1.06,9.1,7.0,10.0,0.8,199.36,0.83,Active
2024-11-30,CUST_0007,prod_03,1466.54,375.0,1278.0,19568.0,380.0,-1.0,26.8,0.54,8.7,12.0,17.0,3.9,97.76,0.79,Engaged
2024-12-31,CUST_0007,prod_03,518.12,184.0,166.0,5124.0,156.6,3.0,19.6,0.46,18.9,5.0,7.0,18.2,98.51,1.45,Engaged
2025-01-31,CUST_0007,prod_03,1401.2,20.0,2378.0,16411.0,104.6,5.0,0.8,1.07,10.2,2.0,7.0,21.3,97.31,0.83,Active
2023-01-31,CUST_0007,prod_04,1382.28,48.87097226154307,680.8138490412565,5054.0,165.8,4.644651669498449,9.0,0.8,6.5,5.0,3.422858637390639,7.97096847418849,97.95,0.9,Engaged
2023-02-28,CUST_0007,prod_04,859.92,26.0,523.0,35231.0,166.9,8.0,7.0,0.84,8.5,12.0,12.0,17.0,96.97,1.82,Active
2023-03-31,CUST_0007,prod_04,3777.33,144.0,2054.0,5034.0,104.2,5.0,18.8,0.83,7.4,0.0,14.0,0.7,100.22,0.61,Active
2023-04-30,CUST_0007,prod_04,1467.4,24.0,1073.0,1197.0,95.3,11.0,5.0,1.9,5.9,9.0,5.0,4.4,99.15,0.17,Engaged
2023-05-31,CUST_0007,prod_04,486.06,167.0,1557.0,11878.0,110.7,7.0,2.9,1.04,17.2,4.0,7.0,30.8,98.04,0.86,Engaged
2023-06-30,CUST_0007,prod_04,1667.65,172.0,805.0,5846.0,24.6,9.0,0.5,0.57,8.0,1.0,7.0,6.1,100.13,0.19,Active
